Index,Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Satisfaction_with_previous_vote,Looking_at_poles_results,Garden_sqr_meter_per_person_in_residancy_area,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters
9379,Browns,7.0,394.415320520702,60923.600983072196,Education,131.471773506901,No,463.396814068796,Yes,Female,After_16:00,0.294534815708175,0.7353562440257521,6.880039619281889,3.7385624274611495,3.81894030142576,0.720181476790458,8936.0,30.5536407977343,444.25981802255995,5522.48777673308,53870.2946790187,,214736.607289111,21.0774718128755,80.7705869206202,90.9150012303144,17426.299002556698,100.0,Below_30,0.0,673.385765410757,9.0,Car,Hightech,454.424495567146,1.0,No
9910,Browns,8.0,74.5814612210772,8184.957574894059,Environment,24.860487073692397,No,329.235607919985,Yes,Female,By_16:00,0.45849510375410296,0.6282657694537189,0.511572549585253,4.18594097252935,0.570168534759432,0.670566924382001,9367.0,23.385271267034103,375.566615025189,4043.4893092502293,45041.406201853206,No,108396.085522442,19.379541145888602,,80.3683574544266,652.9043046149189,90.0,30-45,4.0,575.2611592102851,9.0,Motorcycle_or_truck,Hightech,408.655289791232,1.0,Yes
4102,Oranges,2.0,531.643645547853,66729.8134879703,Military,177.214548515951,No,376.548167443284,Yes,Female,After_16:00,0.0301975382026285,0.19674856797792004,4.25621154019609,1.3185110315680502,9.13115631556138,1.90234988695011,6467.0,98.9206836558878,369.15446539679397,4503.79060522643,47326.816058312805,Maybe,,19.213392865311302,179.95136848405602,5.6608906481415,31592.2107542283,30.0,45_and_up,2.0,617.5707916891259,8.0,Public_or_other,Student_or_Unemployed,495.35391217536596,0.0,No
7120,Browns,2.0,236.70629055204498,38705.393375012995,Financial,78.90209685068159,No,490.54961680246697,Yes,Male,After_16:00,0.28387229656800606,0.7622185396030551,0.900511692743748,8.79745630081743,4.62703018682078,8.52075542556122,8599.0,85.07958950940521,450.112198749812,5805.72056552429,54949.4414728266,No,240638.926545047,,64.0740017203655,51.5219967579469,6314.44298428502,60.0,45_and_up,,684.615116363766,6.0,Public_or_other,Industry_or_other,460.918351617378,1.0,No
4373,Purples,6.0,839.873667372171,117901.682210837,Healthcare,279.95788912405703,No,421.14077434907097,Yes,Male,After_16:00,,0.210005413740873,8.46953518688679,8.72233494650573,1.20412044227123,3.27845198335126,9958.0,28.505731024779397,441.851377447613,5095.1104983859295,54915.777834067594,No,177359.551819335,21.0202611174936,105.63860676610099,88.40175326913601,78666.3775719218,80.0,45_and_up,3.0,709.525414405681,10.0,Car,Student_or_Unemployed,539.490194535843,,No
6405,Turquoises,9.0,1486.88668793227,260662.892053182,Environment,495.628895977422,Yes,525.923516907005,No,Male,After_16:00,0.6894782108720389,0.21099302917718898,3.41617333004251,9.427519100718198,9.04070580378175,9.250769002828749,6563.0,63.9952062861994,501.60054981023103,6262.436268690511,60394.147765106,Yes,276595.545635832,22.396440561174696,27.0594854812177,92.68917497247459,246153.631423776,90.0,30-45,0.0,750.237281147482,14.0,Foot_or_bicycle,Student_or_Unemployed,492.408869255147,1.0,No
4300,Purples,1.0,924.2093963693809,128204.597800252,Financial,308.069798789794,No,416.154385479799,Yes,Male,After_16:00,0.543054027482867,0.750013076234609,9.4436161313206,5.94903164543211,0.0108060287311673,7.4554918147623495,3597.0,28.3614123705775,419.51113926363195,5000.56613332525,50968.376580433796,No,173184.472554069,20.4819710785762,126.82120072996,81.5098594641313,95225.0707251738,60.0,30-45,1.0,643.802874454525,9.0,Foot_or_bicycle,Student_or_Unemployed,449.254821138553,0.0,No
6640,Greys,4.0,231.07258993478402,33073.901549878,Military,77.024196644928,No,429.396254560688,Yes,Female,After_16:00,0.916638616705313,0.28242521872744003,3.35270387586206,7.859065744560209,2.50741272699088,2.00802094535902,9036.0,32.1862776763737,499.00410687846704,5291.97075936381,57165.4062451024,Maybe,184381.143430747,22.3383998280644,97.74870698437891,47.153972275555105,6019.75106544146,30.0,30-45,4.0,708.246394848719,8.0,Car,Industry_or_other,432.40614640406096,1.0,Yes
7747,Greens,10.0,40.934760577723,3734.86849113171,Social,13.6449201925743,No,273.71860285150296,Yes,Male,After_16:00,0.0972696086391807,0.581285075284541,4.12053002044559,7.33963939826936,8.22633898817003,1.5694116149097699,7110.0,97.50037812627849,514.217841393158,3765.62171130135,60467.6000492433,No,74921.873546979,22.676371874556104,265.48994727568197,25.8894254686311,209.828767254297,70.0,45_and_up,0.0,809.232189045843,12.0,Motorcycle_or_truck,Services_or_Retail,638.1285430137,0.0,Yes
7228,Pinks,9.0,57.3280658652626,5816.67697547719,Social,19.1093552884209,No,304.388970097895,Yes,Male,After_16:00,0.18235928472131502,0.3545255055651071,1.13989700796083,6.814162984956059,1.00279452046379,5.76296095969155,5046.0,15.7176448497921,368.121927181239,3780.1335553414297,,No,92652.64511725721,19.1865037769063,258.186955079562,7.27725340984762,394.276814827519,70.0,Below_30,3.0,559.296265788641,6.0,Car,Public_Sector,395.09526863147204,0.0,No
